"id","car_maker"
230534667,"Audi"
233246593,"Audi"
224795085,"Audi"
228194793,"Audi"
233217732,"Audi"
231908564,"Audi"
231385962,"Audi"
233447743,"Audi"
212538587,"Audi"
233229337,"Audi"
233144301,"Audi"
232966075,"Audi"
220430613,"Audi"
230461041,"Audi"
233476082,"Audi"
229686688,"Audi"
233568411,"Audi"
233364504,"Audi"
232911810,"Audi"
231828975,"Audi"
233318164,"Audi"
232420498,"Audi"
231854827,"Audi"
233220964,"Audi"
224075903,"Audi"
232306394,"Audi"
229561367,"Audi"
227555433,"Audi"
232297195,"Audi"
231418616,"Audi"
231408219,"Audi"
228123253,"Audi"
233067800,"Audi"
230623050,"Audi"
233389553,"Audi"
233364481,"Audi"
232808503,"Audi"
231297949,"Audi"
231020196,"Audi"
229109270,"Audi"
232904038,"Audi"
232776311,"Audi"
231792069,"Audi"
232843480,"Audi"
233060922,"Audi"
232731959,"Audi"
231112995,"Audi"
227906391,"Audi"
233259413,"Audi"
232389820,"Audi"
231849039,"Audi"
231855492,"Audi"
230550932,"Audi"
225426514,"Audi"
224421360,"Audi"
233065247,"Audi"
232132391,"Audi"
229159469,"Audi"
231687766,"Audi"
232925114,"Audi"
227266929,"Audi"
233439874,"Audi"
231076901,"Audi"
227848659,"Audi"
227848477,"Audi"
225509417,"Audi"
232073690,"Audi"
230691368,"Audi"
217517254,"Audi"
233548109,"Audi"
233164885,"Audi"
232620603,"Audi"
232397131,"Audi"
231921461,"Audi"
231611546,"Audi"
232616478,"Audi"
233479535,"Audi"
228300222,"Audi"
232614042,"Audi"
231966139,"Audi"
232806878,"Audi"
224043073,"Audi"
226014046,"Audi"
233357073,"Audi"
233115454,"Audi"
232257128,"Audi"
232209785,"Audi"
233584723,"Audi"
232779570,"Audi"
232424114,"Audi"
224974915,"Audi"
233528006,"Audi"
232667541,"Audi"
233490703,"Audi"
233423369,"Audi"
228651344,"Audi"
232471238,"Audi"
233443876,"Audi"
232854475,"Audi"
232050389,"Audi"
232417078,"Audi"
232353926,"Audi"
232210324,"Audi"
223482921,"Audi"
233487329,"Audi"
230421834,"Audi"
230939755,"Audi"
230471795,"Audi"
199885549,"Audi"
233093519,"Audi"
233454554,"Audi"
233446549,"Audi"
232890807,"Audi"
232211069,"Audi"
221377122,"Audi"
233528467,"Audi"
233315980,"Audi"
232779742,"Audi"
232422513,"Audi"
230741173,"Audi"
228288860,"Audi"
232620653,"Audi"
233437755,"Audi"
233120970,"Audi"
232727165,"Audi"
232465771,"Audi"
233254067,"Audi"
230980904,"Audi"
233531085,"Audi"
207192062,"Audi"
233290391,"Audi"
232966035,"Audi"
232670775,"Audi"
233196412,"Audi"
231143924,"Audi"
232705598,"Audi"
233438624,"Audi"
232781948,"Audi"
229569642,"Audi"
228042550,"Audi"
232768995,"Audi"
231410747,"Audi"
227132187,"Audi"
233439430,"Audi"
233065712,"Audi"
228622760,"Audi"
232606324,"Audi"
233219316,"Audi"
228455659,"Audi"
231900330,"Audi"
232935916,"Audi"
233460095,"Audi"
232599055,"Audi"
233063415,"Audi"
232822084,"Audi"
231403090,"Audi"
233443945,"Audi"
233443840,"Audi"
230880694,"Audi"
218911980,"Audi"
225722432,"Audi"
224604756,"Audi"
232022842,"Audi"
225116303,"Audi"
232995929,"Audi"
232247245,"Audi"
233478918,"Audi"
233443895,"Audi"
233443878,"Audi"
233185182,"Audi"
228432978,"Audi"
221581962,"Audi"
229527342,"Audi"
232610681,"Audi"
232144287,"Audi"
227258841,"Audi"
226679671,"Audi"
231190748,"Audi"
232823085,"Audi"
233443904,"Audi"
233443884,"Audi"
233443870,"Audi"
233324895,"Audi"
232891704,"Audi"
233424556,"Audi"
229688835,"Audi"
231921774,"Audi"
233440741,"Audi"
231113453,"Audi"
231113452,"Audi"
233443880,"Audi"
230880680,"Audi"
232958815,"Audi"
231183355,"Audi"
225025968,"Audi"
233302746,"Audi"
